Document,Phrase
trip_101.txt,weird design
trip_102.txt,welcoming rooms
trip_102.txt,whirlpool jets
trip_106.txt,whirlpool tub
trip_101.txt,whole fruit
trip_103.txt,whole grains
trip_106.txt,whole place
trip_106.txt,wirlpool baths
trip_100.txt,wonderful area
trip_107.txt,wonderful innkeepers
trip_102.txt,wonderful place
trip_10.txt,Wonderful property
trip_1.txt,wonderful server
trip_1.txt,wonderful visit
trip_105.txt,wooden swing
trip_105.txt,yard items
trip_105.txt,Years Eve
trip_103.txt,yet attentive
trip_103.txt,young couple
trip_1.txt,young ladies
